title,clean_title,clean_token,sentiment
"Amit-amit Kalau RI Resesi, Ini yang Bakal Menimpa Warga - https://t.co/M3hnpEwUqe 

#IDCORNER",amitamit resesi timpa warga,"['amitamit', 'resesi', 'timpa', 'warga']",Negative
RT @jokowi: Executive Chairman World Economic Forum (WEF) Profesor Klaus Schwab hadir di Phnom Penh dan bertemu saya di sela penyelenggaraa…,executive chairman world economic forum profesor klaus schwab hadir phnom penh temu penyelenggaraa,"['executive', 'chairman', 'world', 'economic', 'forum', 'profesor', 'klaus', 'schwab', 'hadir', 'phnom', 'penh', 'temu', 'penyelenggaraa']",Neutral
"Amit-amit Kalau RI Resesi, Ini yang Bakal Menimpa Warga https://t.co/VZHQBTgl14",amitamit resesi timpa warga,"['amitamit', 'resesi', 'timpa', 'warga']",Negative
"RT @produkbaguss: Takut resesi 2023? Investasi emas udah solusi paling aman!

~ A Thread https://t.co/3AWLsyTrmD",takut resesi investasi emas udah solusi aman thread,"['takut', 'resesi', 'investasi', 'emas', 'udah', 'solusi', 'aman', 'thread']",Neutral
"Ubedilah Badrun mengemukakan bahwa korupsi yang merajalela, demokrasi yang semakin memburuk.

Kepolisian yang semakin tidak dipercaya, produksi regulasi dikendalikan oligarki, PHK buruh terus terjadi.
Resesi ekonomi memicu gerakan protes masyarakat.

https://t.co/FSG7yTZWwo",ubedilah badrun muka korupsi rajalela demokrasi memburukkepolisian percaya produksi regulasi kendali oligarki buruh terjadiresesi ekonomi picu gera protes masyarakat,"['ubedilah', 'badrun', 'muka', 'korupsi', 'rajalela', 'demokrasi', 'memburukkepolisian', 'percaya', 'produksi', 'regulasi', 'kendali', 'oligarki', 'buruh', 'terjadiresesi', 'ekonomi', 'picu', 'gera', 'protes', 'masyarakat']",Neutral
"RT @SoftWarNews: Rusia telah menciptakan situasi di dunia yang memicu resesi di Inggris, kata kepala Kementerian Keuangan Kerajaan, Jeremy…",rusia cipta situasi dunia picu resesi inggris kepala menteri uang raja jeremy,"['rusia', 'cipta', 'situasi', 'dunia', 'picu', 'resesi', 'inggris', 'kepala', 'menteri', 'uang', 'raja', 'jeremy']",Negative
"Rusia telah menciptakan situasi di dunia yang memicu resesi di Inggris, kata kepala Kementerian Keuangan Kerajaan, Jeremy Hunt........

Mencari Kambing Hitam",rusia cipta situasi dunia picu resesi inggris kepala menteri uang raja jeremy huntmencari kambing hitam,"['rusia', 'cipta', 'situasi', 'dunia', 'picu', 'resesi', 'inggris', 'kepala', 'menteri', 'uang', 'raja', 'jeremy', 'huntmencari', 'kambing', 'hitam']",Negative
RT @WartegPerjuang1: @freestranger24 @DoankJat @Habibi67198722 @RakyatBersatu55 @Penawar81469159 @inlandertengik @HaziqMzyan @Pribumi_awam…,,[],Neutral
"Retensi Inflasi, Dampak Berantai dan Protokol Anti Resesi https://t.co/aVCM9Y3LdF",retensi inflasi dampak beranta protokol anti resesi,"['retensi', 'inflasi', 'dampak', 'beranta', 'protokol', 'anti', 'resesi']",Negative
apakah anda tidak ingat kepada laptop yang sudah potek dan resesi 2023 ???!??!!!!,laptop potek resesi,"['laptop', 'potek', 'resesi']",Negative
